ResultadoID,CorridaID,PilotoID,PilotoPosicaoCheg,PilotoPontosCorrida,ResultadoVrapida
147,24,1,19,0,01:17.5
148,24,16,20,0,01:20.7
149,25,13,1,10,01:16.7
150,25,8,2,8,01:16.6
151,25,15,3,6,01:17.6
152,25,5,4,5,01:17.1
153,25,9,5,4,01:17.2
154,25,17,6,3,01:17.5
155,25,12,7,2,01:17.8
156,25,4,8,1,01:17.6
157,25,14,9,0,01:17.8
158,25,1,10,0,01:17.5
159,25,10,11,0,01:17.8
160,25,20,12,0,01:17.8
161,25,2,13,0,01:17.7
162,25,22,14,0,01:18.0
163,25,6,15,0,01:18.1
164,25,3,16,0,01:18.3
165,25,7,17,0,01:18.2
166,25,21,18,0,01:18.6
167,25,16,19,0,01:18.5
168,25,18,20,0,01:20.9
169,26,1,1,10,01:32.8
170,26,2,2,8,01:32.7
171,26,22,3,6,01:33.4
172,26,8,4,5,01:32.1
173,26,5,5,4,01:33.1
174,26,4,6,3,01:33.1
175,26,15,7,2,01:33.8
176,26,6,8,1,01:34.3
177,26,3,9,0,01:34.8
178,26,17,10,0,01:33.0
179,26,7,11,0,01:33.4
180,26,10,12,0,01:34.6
181,26,13,13,0,01:33.3
182,26,9,14,0,01:33.5
183,26,18,15,0,01:33.4
184,26,12,16,0,01:33.2
185,26,21,17,0,01:34.9
186,26,16,18,0,01:38.2
187,26,20,19,0,
188,26,14,20,0,
189,27,1,1,10,01:16.0
190,27,12,2,8,01:16.9
191,27,13,3,6,01:16.5
192,27,2,4,5,01:16.0
193,27,5,5,4,01:16.5
194,27,8,6,3,01:16.3
195,27,9,7,2,01:16.6
196,27,20,8,1,01:16.8
197,27,15,9,0,01:17.0
198,27,3,10,0,01:17.4
199,27,4,11,0,01:17.1
200,27,7,12,0,01:17.0
201,27,14,13,0,01:17.0
202,27,6,14,0,01:17.7
203,27,16,15,0,01:17.9
204,27,21,16,0,01:18.2
205,27,18,17,0,01:17.6
206,27,22,18,0,01:18.0
207,27,17,19,0,01:17.2
208,27,10,20,0,01:16.7
209,28,5,1,10,01:21.8
210,28,10,2,8,01:21.7
211,28,8,3,6,01:21.2
212,28,4,4,5,01:21.8
213,28,1,5,4,01:21.5
214,28,12,6,3,01:21.5
215,28,15,7,2,01:21.6
216,28,9,8,1,01:21.9
217,28,17,9,0,01:22.1
218,28,2,10,0,01:22.2
219,28,14,11,0,01:22.7
220,28,18,12,0,01:22.4
221,28,6,13,0,01:23.3
222,28,3,14,0,01:22.4
223,28,21,15,0,01:22.6
224,28,22,16,0,01:22.4
225,28,13,17,0,01:21.4
226,28,7,18,0,01:23.2
227,28,16,19,0,01:23.7
228,28,20,20,0,01:24.2
229,29,13,1,10,01:38.7
230,29,1,2,8,01:38.9
231,29,9,3,6,01:39.3
232,29,5,4,5,01:39.1
233,29,15,5,4,01:39.7
234,29,20,6,3,01:39.5
235,29,10,7,2,01:39.5
236,29,3,8,1,01:39.6
237,29,2,9,0,01:39.5
238,29,7,10,0,01:39.6
239,29,12,11,0,01:39.5
240,29,17,12,0,01:40.3
241,29,18,13,0,01:40.8
242,29,21,14,0,01:40.4
243,29,6,15,0,01:39.8
244,29,22,16,0,01:40.6
245,29,14,17,0,01:41.0
246,29,8,18,0,01:39.4
247,29,16,19,0,01:40.7
248,29,4,20,0,
249,30,13,1,10,01:48.2
250,30,2,2,8,01:49.1
251,30,1,3,6,01:48.1
252,30,4,4,5,01:49.2
253,30,20,5,4,01:49.1
254,30,9,6,3,01:49.0
255,30,7,7,2,01:49.0
256,30,17,8,1,01:49.5
257,30,10,9,0,01:50.3
258,30,5,10,0,01:48.2
259,30,14,11,0,01:50.2
260,30,3,12,0,01:50.7
261,30,16,13,0,01:50.5
262,30,6,14,0,01:51.0
263,30,18,15,0,01:50.7
264,30,15,16,0,01:50.5
265,30,21,17,0,01:51.7
266,30,8,18,0,01:47.9
267,30,22,19,0,01:52.1
268,30,12,20,0,01:51.1
269,31,20,1,10,01:30.5
270,31,5,2,8,01:30.3
271,31,9,3,6,01:30.3
272,31,4,4,5,01:30.0
273,31,2,5,4,01:29.8
274,31,13,6,3,01:29.7
275,31,1,7,2,01:29.7
276,31,17,8,1,01:29.7
277,31,8,9,0,01:28.0
278,31,12,10,0,01:30.9
279,31,10,11,0,01:29.9
280,31,6,12,0,01:30.2
281,31,15,13,0,01:30.9
282,31,3,14,0,01:30.0
283,31,18,15,0,01:29.8
284,31,14,16,0,01:32.5
285,31,22,17,0,01:33.9
286,31,7,18,0,01:29.3
287,31,16,19,0,01:33.5
288,31,21,20,0,01:37.3
289,32,4,1,10,01:45.8
290,32,3,2,8,01:46.5
291,32,1,3,6,01:46.1
292,32,10,4,5,01:47.0
293,32,20,5,4,01:47.3
294,32,2,6,3,01:47.3
295,32,14,7,2,01:47.6
296,32,6,8,1,01:47.3
297,32,18,9,0,01:48.1
298,32,5,10,0,01:47.3
299,32,9,11,0,01:46.9
300,32,7,12,0,01:47.8
301,32,13,13,0,01:45.8
302,32,21,14,0,01:49.1
303,32,8,15,0,01:45.6
304,32,15,16,0,01:47.0
305,32,16,17,0,01:49.3
306,32,17,18,0,01:49.2
307,32,22,19,0,01:50.3
308,32,12,20,0,01:50.4
309,33,4,1,10,01:19.1
310,33,9,2,8,01:19.3
311,33,8,3,6,01:19.0
312,33,12,4,5,01:19.2
313,33,15,5,4,01:19.5
314,33,20,6,3,01:19.6
315,33,13,7,2,01:18.4
316,33,17,8,1,01:19.8
317,33,2,9,0,01:19.5
318,33,7,10,0,01:19.3
319,33,3,11,0,01:19.5
320,33,1,12,0,01:19.6
321,33,22,13,0,01:20.6
322,33,18,14,0,01:20.8
323,33,6,15,0,01:20.4
324,33,21,16,0,01:21.6
325,33,5,17,0,01:19.3
326,33,16,18,0,01:21.2
327,33,10,19,0,01:20.3
328,33,14,20,0,
329,34,1,1,10,01:36.3
330,34,13,2,8,01:36.6
331,34,8,3,6,01:36.5
332,34,4,4,5,01:36.7
333,34,2,5,4,01:36.5
334,34,9,6,3,01:36.9
335,34,10,7,2,01:36.7
336,34,12,8,1,01:37.0
337,34,20,9,0,01:37.2
338,34,14,10,0,01:37.8
339,34,22,11,0,01:37.8
340,34,6,12,0,01:38.0
341,34,7,13,0,01:37.5
342,34,17,14,0,01:37.7
343,34,3,15,0,01:37.2
344,34,18,16,0,01:37.8
345,34,21,17,0,01:38.4
346,34,5,18,0,01:37.3
347,34,16,19,0,01:39.7
348,34,15,20,0,02:39.6
349,35,13,1,10,01:13.7
350,35,4,2,8,01:14.2
351,35,8,3,6,01:14.1
352,35,20,4,5,01:14.2
353,35,1,5,4,01:14.2
354,35,10,6,3,01:14.1
355,35,5,7,2,01:14.2
356,35,15,8,1,01:14.2
357,35,17,9,0,01:15.0
358,35,2,10,0,01:14.7
359,35,9,11,0,01:14.4
360,35,3,12,0,01:14.9
361,35,18,13,0,01:14.8
362,35,7,14,0,01:15.0
363,35,22,15,0,01:15.4
364,35,16,16,0,01:15.8
365,35,6,17,0,01:15.9
366,35,21,18,0,01:15.2
367,35,12,19,0,
368,35,14,20,0,
369,36,8,1,10,01:25.2
370,36,4,2,8,01:26.3
371,36,1,3,6,01:26.4
372,36,2,4,5,01:26.7
373,36,21,5,4,01:26.9
374,36,13,6,3,01:27.0
375,36,3,7,2,01:26.7
376,36,23,8,1,01:27.8
377,36,15,9,0,01:28.0
378,36,5,10,0,01:27.6
379,36,22,11,0,01:28.1
380,36,11,12,0,01:28.5
381,36,17,13,0,01:27.5
382,36,24,14,0,01:28.3
383,36,18,15,0,01:28.4
384,36,19,16,0,01:28.5
385,36,16,17,0,01:28.7
386,36,25,18,0,01:28.3
387,36,14,19,0,01:27.7
388,36,9,20,0,01:26.6
389,36,26,21,0,01:29.0
390,36,27,22,0,01:30.9
391,37,4,1,10,01:36.9
392,37,1,2,8,01:36.7
393,37,8,3,6,01:37.2
394,37,2,4,5,01:37.4
395,37,13,5,4,01:37.2
396,37,21,6,3,01:37.9
397,37,15,7,2,01:38.0
398,37,5,8,1,01:37.8
399,37,25,9,0,01:37.9
400,37,17,10,0,01:38.5
401,37,22,11,0,01:38.6
402,37,18,12,0,01:38.7
403,37,11,13,0,01:38.5
404,37,26,14,0,01:39.1
405,37,23,15,0,01:39.2
406,37,19,16,0,01:39.6
407,37,24,17,0,01:38.4
408,37,9,18,0,01:38.9
409,37,3,19,0,01:37.7
410,37,14,20,0,01:38.1
411,37,27,21,0,01:41.5
412,37,16,22,0,
413,38,13,1,10,01:34.1
414,38,1,2,8,01:34.3
415,38,8,3,6,01:34.4
416,38,2,4,5,01:34.5
417,38,4,5,4,01:34.4
418,38,9,6,3,01:34.8
419,38,15,7,2,01:35.2
420,38,21,8,1,01:35.2
421,38,5,9,0,01:35.5
422,38,3,10,0,01:35.6
423,38,25,11,0,01:36.0
424,38,23,12,0,01:35.8
425,38,22,13,0,01:35.8
426,38,27,14,0,01:37.2
427,38,16,15,0,01:36.8
428,38,19,16,0,01:36.1
429,38,17,17,0,01:35.7
430,38,14,18,0,01:35.4
431,38,11,19,0,01:36.4
432,38,24,20,0,01:35.7
433,38,18,21,0,
434,38,26,22,0,
435,39,13,1,10,01:22.7
436,39,1,2,8,01:22.9
437,39,4,3,6,01:23.0
438,39,9,4,5,01:23.1
439,39,14,5,4,01:23.5
440,39,3,6,3,01:23.7
441,39,5,7,2,01:23.0
442,39,11,8,1,01:24.1
443,39,21,9,0,01:23.6
444,39,22,10,0,01:24.3
445,39,19,11,0,01:24.3
446,39,18,12,0,01:24.2
447,39,16,13,0,01:25.2
448,39,27,14,0,01:25.3
449,39,2,15,0,01:23.5
450,39,23,16,0,01:24.0
451,39,24,17,0,01:25.2
452,39,26,18,0,01:26.2
453,39,8,19,0,01:23.5
454,39,15,20,0,01:26.1
455,39,17,21,0,01:26.3
456,39,25,22,0,
457,40,4,1,10,01:15.3
458,40,1,2,8,01:15.4
459,40,13,3,6,01:16.2
460,40,21,4,5,01:16.3
461,40,9,5,4,01:16.0
462,40,2,6,3,01:17.0
463,40,25,7,2,01:16.7
464,40,8,8,1,01:16.6
465,40,26,9,0,01:16.9
466,40,22,10,0,01:17.1
467,40,18,11,0,01:16.8
468,40,3,12,0,01:17.0
469,40,5,13,0,01:17.1
470,40,14,14,0,01:16.8
471,40,15,15,0,01:17.5
472,40,23,16,0,01:17.2
473,40,11,17,0,01:17.2
474,40,19,18,0,01:17.2
475,40,27,19,0,01:17.7
476,40,16,20,0,01:17.7
477,40,17,21,0,01:19.0
478,40,24,22,0,
479,41,1,1,10,01:16.5
