resultId,raceId,driverId,fastestLap,fastestLapTime
1407,84,38,53,01:29.2
1408,84,39,42,01:29.3
1409,84,33,50,01:29.0
1410,84,27,13,01:29.4
1411,84,30,21,01:27.0
1412,84,2,25,01:27.4
1413,84,13,27,01:26.5
1414,84,17,12,01:26.8
1415,85,31,15,01:21.8
1416,85,4,16,01:22.1
1417,85,21,16,01:22.6
1418,85,8,51,01:21.5
1419,85,15,19,01:22.8
1420,85,23,19,01:23.1
1421,85,42,21,01:22.9
1422,85,18,16,01:23.2
1423,85,13,18,01:23.4
1424,85,30,5,01:23.6
1425,85,35,13,01:23.9
1426,85,22,13,01:23.5
1427,85,32,17,01:23.6
1428,85,17,40,01:22.9
1429,85,14,18,01:23.9
1430,85,11,14,01:23.3
1431,85,33,9,01:24.8
1432,85,38,31,01:25.2
1433,85,27,33,01:25.0
1434,85,39,17,01:25.1
1435,86,8,34,01:53.8
1436,86,4,31,01:56.1
1437,86,18,44,01:53.3
1438,86,17,44,01:52.3
1439,86,22,44,01:52.6
1440,86,35,44,01:54.3
1441,86,23,43,01:51.5
1442,86,33,41,01:57.9
1443,86,32,43,01:52.6
1444,86,13,28,01:57.7
1445,86,39,43,01:55.9
1446,86,27,6,02:01.6
1447,86,38,38,02:01.1
1448,86,31,14,01:56.0
1449,86,42,32,01:57.5
1450,86,15,3,01:57.0
1451,86,14,8,01:58.5
1452,86,30,10,01:57.4
1453,86,11,10,01:57.5
1454,86,21,9,01:57.1
1455,87,31,27,01:12.6
1456,87,8,29,01:12.3
1457,87,4,21,01:12.7
1458,87,30,25,01:12.8
1459,87,21,11,01:13.2
1460,87,22,49,01:13.2
1461,87,18,24,01:13.7
1462,87,23,25,01:13.7
1463,87,32,50,01:13.8
1464,87,11,32,01:14.4
1465,87,13,70,01:14.3
1466,87,35,25,01:14.1
1467,87,15,69,01:13.6
1468,87,27,19,01:15.5
1469,87,39,41,01:14.9
1470,87,33,41,01:15.1
1471,87,17,45,01:13.6
1472,87,38,16,01:15.8
1475,88,8,44,01:31.5
1476,88,21,19,01:32.5
1477,88,4,21,01:31.6
1478,88,17,21,01:33.0
1479,88,18,19,01:32.8
1480,88,14,18,01:33.0
1481,88,30,25,01:32.8
1482,88,23,9,01:32.8
1483,88,32,49,01:33.5
1484,88,13,43,01:33.2
1485,88,22,52,01:33.1
1486,88,35,50,01:33.3
1487,88,33,17,01:35.5
1488,88,38,50,01:36.6
1489,88,39,11,01:35.9
1490,88,27,33,01:36.0
1491,88,42,9,01:36.7
1492,88,15,9,01:37.4
1494,88,11,28,01:34.2
1495,89,4,45,01:33.5
1496,89,8,56,01:33.2
1497,89,23,44,01:34.0
1498,89,21,54,01:33.6
1499,89,32,43,01:33.7
1500,89,13,43,01:34.1
1501,89,17,53,01:34.3
1502,89,18,53,01:34.8
1503,89,14,54,01:34.6
1504,89,35,53,01:34.7
1505,89,33,13,01:36.6
1506,89,22,18,01:35.0
1507,89,42,52,01:34.6
1508,89,38,54,01:36.9
1509,89,15,16,01:35.3
1510,89,27,48,01:37.2
1511,89,11,17,01:35.6
1512,89,39,17,01:37.4
1513,89,31,15,01:34.5
1514,89,30,16,01:35.9
1515,90,30,29,01:24.1
1516,90,22,8,01:24.2
1517,90,4,10,01:25.1
1518,90,23,11,01:25.8
1519,90,31,42,01:25.3
1520,90,18,24,01:26.0
1521,90,15,9,01:26.3
1522,90,14,13,01:26.3
1523,90,11,43,01:26.1
1524,90,21,39,01:26.3
1525,90,32,6,01:27.8
1526,90,43,41,01:27.8
1527,90,44,35,01:27.8
1528,90,45,15,01:28.5
1529,90,13,11,01:26.8
1530,90,2,27,01:27.5
1531,90,46,10,01:30.2
1532,90,17,15,01:26.0
1533,90,47,8,01:30.6
1534,90,8,7,01:27.9
1535,91,30,6,01:34.8
1536,91,31,28,01:34.2
1537,91,18,28,01:35.0
1538,91,22,7,01:35.4
1539,91,15,12,01:35.0
1540,91,14,26,01:35.9
1541,91,4,7,01:35.9
1542,91,13,7,01:36.6
1543,91,43,22,01:36.5
1544,91,32,12,01:37.0
1545,91,21,54,01:36.7
1546,91,44,23,01:36.0
1547,91,45,41,01:39.5
1548,91,46,11,01:39.9
1549,91,11,13,01:35.7
1550,91,47,12,01:40.1
1551,91,8,12,01:35.2
1552,91,2,15,01:37.4
1553,91,23,10,01:35.6
1554,91,17,9,01:36.9
1555,92,30,7,01:30.3
1556,92,22,29,01:30.9
1557,92,18,24,01:31.0
1558,92,15,24,01:31.4
1559,92,11,55,01:31.1
1560,92,4,39,01:30.7
1561,92,23,56,01:30.8
1562,92,17,19,01:32.3
1563,92,44,22,01:32.4
1564,92,43,23,01:32.3
1565,92,21,40,01:32.3
1566,92,13,44,01:32.7
1567,92,31,28,01:31.0
1568,92,32,38,01:32.5
1569,92,2,56,01:33.3
1570,92,45,9,01:34.0
1571,92,46,40,01:35.1
1572,92,14,19,01:31.9
1573,92,47,24,01:34.6
1574,92,8,7,01:33.5
1575,93,30,10,01:20.4
1576,93,18,28,01:21.2
1577,93,31,27,01:21.9
1578,93,4,59,01:21.6
1579,93,15,11,01:21.7
1580,93,22,31,01:21.9
1581,93,23,30,01:21.7
1582,93,8,39,01:22.5
1583,93,21,60,01:22.7
1584,93,13,36,01:22.9
1585,93,44,59,01:22.9
1586,93,14,42,01:23.0
1587,93,17,55,01:22.9
1588,93,32,27,01:23.6
1589,93,47,58,01:26.1
1590,93,11,44,01:21.9
1591,93,2,44,01:23.4
1592,93,43,25,01:23.1
1593,93,46,11,01:26.9
1594,93,45,6,01:25.5
1595,94,30,12,01:17.5
1596,94,22,16,01:17.9
1597,94,15,12,01:18.2
1598,94,4,27,01:17.6
1599,94,11,47,01:17.7
1600,94,23,27,01:18.5
1601,94,21,37,01:19.1
1602,94,18,46,01:17.5
1603,94,13,43,01:18.8
1604,94,14,38,01:19.2
1605,94,8,48,01:18.8
1606,94,17,11,01:18.6
